Organisation Name,Organisation Website,Organisation Address,Organisation Languages,Organisation Services,Organisation Google Map,Organisation Details
Catholic Crosscultural Services,https://www.ccscan.ca,"3660 Hurontario Street, Floor 7","English, Arabic, Cantonese, Dari, Farsi (Persian), Gujarati, Hindi, Korean, Mandarin, Nepali, Pashto, Polish, Punjabi, Russian, Sindhi, Spanish, Tagalog, Tamil, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for youth', 'Services for women', 'Services for refugees']",http://maps.google.com/maps?q=3660%20Hurontario%20Street%2C%20Floor%207%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5B 3C4Telephone: 905-457-7740Languages of service: English, Arabic, Cantonese, Dari, Farsi (Persian), Gujarati, Hindi, Korean, Mandarin, Nepali, Pashto, Polish, Punjabi, Russian, Sindhi, Spanish, Tagalog, Tamil, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobServices for youthServices for womenServices for refugees"
Catholic Crosscultural Services,https://www.ccscan.ca,1477 Mississauga Valley Boulevard,"English, Arabic, Dari, Farsi (Persian), Hindi, Pashto, Punjabi, Tamil, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'General language training', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees']",http://maps.google.com/maps?q=1477%20Mississauga%20Valley%20Boulevard%20%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5A 3Y4Telephone: 905-272-1703Languages of service: English, Arabic, Dari, Farsi (Persian), Hindi, Pashto, Punjabi, Tamil, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionGeneral language trainingServices for youthServices for womenServices for seniorsServices for refugees"
Catholic Crosscultural Services - ACCES Employment,https://www.ccscan.ca,enquiry@ccscan.ca,"English, Dari, Farsi (Persian), Pashto, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for women', 'Services for refugees']",mailto:enquiry@ccscan.ca,"Mississauga, OntarioTelephone: 416-648-5449Languages of service: English, Dari, Farsi (Persian), Pashto, Ukrainian/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for womenServices for refugees"
Catholic Crosscultural Services - Acces Employment - Itinerant,https://www.ccscan.ca,enquiry@ccscan.ca,"English, Hindi, Punjabi, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for women', 'Services for refugees']",mailto:enquiry@ccscan.ca,"Brampton, OntarioTelephone: 416-902-4995Languages of service: English, Hindi, Punjabi, Ukrainian, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for womenServices for refugees"
Catholic Crosscultural Services - Access Employment,https://www.ccscan.ca,enquiry@ccscan.ca,"English, Gujarati, Hindi, Malayalam, Marathi, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for refugees']",mailto:enquiry@ccscan.ca,"Scarborough, OntarioTelephone: 416-351-5326Languages of service: English, Gujarati, Hindi, Malayalam, Marathi, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for refugees"
Catholic Crosscultural Services - Agincourt Library,https://www.ccscan.ca,155 Bonis Avenue,"English, Cantonese, Chinese, Hakka, Mandarin, Shanghai","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Services for youth', 'Services for women', 'Services for seniors']",http://maps.google.com/maps?q=155%20Bonis%20Avenue%20%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1T 3W6Telephone: 416-396-8943Languages of service: English, Cantonese, Chinese, Hakka, Mandarin, Shanghai/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineServices for youthServices for womenServices for seniors"
Catholic Crosscultural Services - Catholic Crosscultural Services - Birchmount,https://www.ccscan.ca,"2206 Eglinton Avenue East, Suite 124",English,"['Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'General language training', 'Job-specific language training', 'Services for children', 'Services for refugees']",http://maps.google.com/maps?q=2206%20Eglinton%20Avenue%20East%2C%20Suite%20124%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1L 4S7Telephone: 416-759-8800Languages of service: English/Services available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionGeneral language trainingJob-specific language trainingServices for childrenServices for refugees"
Catholic Crosscultural Services - Catholic Crosscultural Services - Cedarbrae Networking Hub,https://www.ccscan.ca,"3495 Lawrence Avenue East, Suite 210","English, Dari, Pashto","['Services available online', 'Help finding a job', 'Services for refugees']",http://maps.google.com/maps?q=3495%20Lawrence%20Avenue%20East%2C%20Suite%20210%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1H 1B3Telephone: 416-757-7106Languages of service: English, Dari, Pashto/Services available onlineHelp finding a jobServices for refugees"
Catholic Crosscultural Services - Catholic Crosscultural Services - Settlement Resources Networking Hub,https://www.ccscan.ca,"3495 Lawrence Avenue East, Suite 210","English, Dari, Farsi (Persian), German, Gujarati, Hindi, Russian, Sinhalese, Tamil, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Services for youth', 'Services for refugees']",http://maps.google.com/maps?q=3495%20Lawrence%20Avenue%20East%2C%20Suite%20210%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1H 1B3Telephone: 416-757-7106Languages of service: English, Dari, Farsi (Persian), German, Gujarati, Hindi, Russian, Sinhalese, Tamil, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineServices for youthServices for refugees"
Catholic Crosscultural Services - Dr. Roz Healing Place,https://www.ccscan.ca,enquiry@ccscan.ca,"English, Cantonese, Mandarin","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for women']",mailto:enquiry@ccscan.ca,"Scarborough, OntarioTelephone: 416-264-4357Languages of service: English, Cantonese, Mandarin/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for women"
Catholic Crosscultural Services - East Scarborough Storefront,https://www.ccscan.ca,enquiry@ccscan.ca,"English, Gujarati, Hindi, Malayalam, Marathi, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for refugees']",mailto:enquiry@ccscan.ca,"Scarborough, OntarioTelephone: 416-208-9889Languages of service: English, Gujarati, Hindi, Malayalam, Marathi, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for refugees"
Catholic Crosscultural Services - Head Office,https://www.ccscan.ca,55 Town Centre Court Suite 401,"English, Bulgarian, Dari, Mandarin, Pashto, Romanian, Russian","['Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Job-specific language training']",http://maps.google.com/maps?q=55%20Town%20Centre%20Court%20Suite%20401%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1P 4X4Telephone: 416-757-7010Languages of service: English, Bulgarian, Dari, Mandarin, Pashto, Romanian, Russian/Services available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionJob-specific language training"
"Catholic Crosscultural Services - Library - Cedarbrea, Maryvale, Woodside Square, Goldhawk , Burrows Hall, Albert Campbell",https://www.ccscan.ca,enquiry@ccscan.ca,"English, Bengali, Cantonese, Gujarati, Hakha Chin, Malayalam, Marathi, Shanghai, Tamil, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Services for refugees']",mailto:enquiry@ccscan.ca,"Scarborough, OntarioTelephone: 416-391-5981Languages of service: English, Bengali, Cantonese, Gujarati, Hakha Chin, Malayalam, Marathi, Shanghai, Tamil, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineServices for refugees"
Catholic Crosscultural Services - Mary Ward LINC and ESL Centre,https://www.ccscan.ca,enquiry@ccscan.ca,"English, Gujarati, Hindi, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online']",mailto:enquiry@ccscan.ca,"Toronto, OntarioTelephone: 416-397-6046Languages of service: English, Gujarati, Hindi, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available online"
Catholic Crosscultural Services - Newcomer Information Centre,https://www.ccscan.ca,enquiry@ccscan.ca,"English, Dari, Farsi (Persian), Hindi, Punjabi, Sinhalese, Tamil, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for women', 'Services for refugees']",mailto:enquiry@ccscan.ca,"Brampton, OntarioTelephone: 416-902-4995Languages of service: English, Dari, Farsi (Persian), Hindi, Punjabi, Sinhalese, Tamil, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for womenServices for refugees"
